meal_id,name,ingredients,description,category,price,order_id,user_id
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,322,3
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,350,3
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,389,3
1,İskender,"Döner Kebap, Yoğurt, Tereyağı, Domates Sosu, Ekmek","Döner et, yoğurt ve tereyağı ile soslanan ekmek üzerine konularak servis edilir.",Kebab,15.5,301,3
1,İskender,"Döner Kebap, Yoğurt, Tereyağı, Domates Sosu, Ekmek","Döner et, yoğurt ve tereyağı ile soslanan ekmek üzerine konularak servis edilir.",Kebab,15.5,317,3
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75,343,3
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,309,3
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,342,3
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,352,3
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,327,3
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,339,3
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,398,3
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,399,3
5,Ali Nazik Kebabı,"Bostan Patlıcanı, Yoğurt, Sarımsak, Zeytinyağı, Kırmızı Pul Biber","Bostan patlıcanı közlenip ezilir, yoğurt, sarımsak ve zeytinyağı eklenerek karıştırılır.",Kebab,12.5,307,3
5,Ali Nazik Kebabı,"Bostan Patlıcanı, Yoğurt, Sarımsak, Zeytinyağı, Kırmızı Pul Biber","Bostan patlıcanı közlenip ezilir, yoğurt, sarımsak ve zeytinyağı eklenerek karıştırılır.",Kebab,12.5,311,3
5,Ali Nazik Kebabı,"Bostan Patlıcanı, Yoğurt, Sarımsak, Zeytinyağı, Kırmızı Pul Biber","Bostan patlıcanı közlenip ezilir, yoğurt, sarımsak ve zeytinyağı eklenerek karıştırılır.",Kebab,12.5,336,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,321,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,328,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,344,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,349,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,361,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,365,3
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99,383,3
8,Beyti Kebap,"Dana Kıyması, Baharatlar, Yoğurt, Tereyağı, Domates Sosu","Baharatlı dana kıyması, şişe sarılıp mangalda pişirilir ve üzerine yoğurtlu sos ve tereyağlı domates sos eklenir.",Kebab,22.5,360,3
8,Beyti Kebap,"Dana Kıyması, Baharatlar, Yoğurt, Tereyağı, Domates Sosu","Baharatlı dana kıyması, şişe sarılıp mangalda pişirilir ve üzerine yoğurtlu sos ve tereyağlı domates sos eklenir.",Kebab,22.5,395,3
9,Börek,"Yufka, Peynir, Yumurta, Süt, Tereyağı","Yufka katları arasına peynir ve yumurta karışımı konularak hazırlanan börek, fırında pişirilir.",Pastry,11.25,359,3
9,Börek,"Yufka, Peynir, Yumurta, Süt, Tereyağı","Yufka katları arasına peynir ve yumurta karışımı konularak hazırlanan börek, fırında pişirilir.",Pastry,11.25,380,3
10,Ciğer Sote,"Ciğer, Soğan, Yeşil Biber, Domates, Baharatlar","Ciğerler doğranıp sotelenerek, üzerine doğranmış sebzeler ve baharatlar eklenerek soteleme işlemi tamamlanır.",Meat Dish,16.75,340,3
