meal_id,name,ingredients,description,category,price,order_id,user_id
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,3,0
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,63,0
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75,30,0
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75,62,0
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,12,0
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,42,0
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,0,0
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,46,0
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,81,0
5,Ali Nazik Kebabı,"Bostan Patlıcanı, Yoğurt, Sarımsak, Zeytinyağı, Kırmızı Pul Biber","Bostan patlıcanı közlenip ezilir, yoğurt, sarımsak ve zeytinyağı eklenerek karıştırılır.",Kebab,12.5,52,0
6,Baklava,"Yufka, Ceviz, Şeker, Su, Tereyağı","Yufka katları arasına ceviz içi konularak hazırlanan baklava, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,9.99,9,0
